;;;;;;;INDICE;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;;;
TABLA 37. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
SOYA (Grano seco);;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;
;;Sembrada;Cosechada;;;;;;
;;;;;;;;;
TOTAL NACIONAL;;28.288;26.517;32.681;32.379;;;;
;;;;;;;;;
REGIÓN SIERRA;;.;.;.;.;;;;
REGIÓN COSTA;;28.282;26.511;32.668;32.379;;;;
REGIÓN ORIENTAL;;6;6;14;.;;;;
ZONAS NO DELIMITADAS;;.;.;.;.;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
BOLÍVAR;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
CAÑAR;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
CARCHI;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
COTOPAXI;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
CHIMBORAZO;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
IMBABURA;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
LOJA;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
PICHINCHA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
ESMERALDAS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
GUAYAS;Solo;8.864;7.866;9.926;9.920;;;;
;Asociado;.;.;.;.;;;;
LOS RÍOS;Solo;18.711;17.939;21.360;21.078;;;;
;Asociado;.;.;.;.;;;;
MANABÍ;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
SANTA ELENA;Solo;707;707;1.381;1.381;;;;
;Asociado;.;.;.;.;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;Solo;6;6;14;.;;;;
;Asociado;.;.;.;.;;;;
NAPO;Solo;;;;;;;;
;Asociado; . ; . ; . ; . ;;;;
ORELLANA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
PASTAZA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SUCUMBÍOS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
ZONAS NO DELIMITADAS;Solo;.;.;.;.;;;;
;Asociado;.;.;.;.;;;;
;;;;;;;;;
Fuente: INEC 2014;;;;;;;;;
