;;;;;;;INDICE
;;;;;;;
;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2014;;;;;;;
TABLA 16. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (Fruta fresca);;;;;;;
;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;
;;Plantada;Cosechada;;;;
;;;;;;;
TOTAL NACIONAL;;28.490;.;.;.;;
;;;;;;;
REGIÓN SIERRA;; 18.822 ;.;.;.;;
REGIÓN COSTA;;4.709;.;.;.;;
REGIÓN ORIENTAL;;4.948;.;.;.;;
ZONAS NO DELIMITADAS;;10;.;.;.;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
;;;;;;;
AZUAY;Solo;1.026;.;.;.;;
;Asociado;.;.;.;.;;
BOLÍVAR;Solo;2.849;.;.;.;;
;Asociado;.;.;.;.;;
CAÑAR;Solo;1.336;.;.;.;;
;Asociado;.;.;.;.;;
CARCHI;Solo;240;.;.;.;;
;Asociado;.;.;.;.;;
COTOPAXI;Solo;5.444;.;.;.;;
;Asociado;.;.;.;.;;
CHIMBORAZO;Solo;98;.;.;.;;
;Asociado;.;.;.;.;;
IMBABURA;Solo;724;.;.;.;;
;Asociado;.;.;.;.;;
LOJA;Solo;3.741;.;.;.;;
;Asociado;.;.;.;.;;
PICHINCHA;Solo; 2.852 ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;
;Asociado; . ; . ; . ; . ;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;513;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
REGIÓN COSTA;;;;;;;
;;;;;;;
EL ORO;Solo;1.124;.;.;.;;
;Asociado;.;.;.;.;;
ESMERALDAS;Solo;198;.;.;.;;
;Asociado;.;.;.;.;;
GUAYAS;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
LOS RÍOS;Solo;53;.;.;.;;
;Asociado;.;.;.;.;;
MANABÍ;Solo;3.335;.;.;.;;
;Asociado;.;.;.;.;;
SANTA ELENA;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
REGIÓN ORIENTAL;;;;;;;
;;;;;;;
MORONA SANTIAGO;Solo;1.311;.;.;.;;
;Asociado;.;.;.;.;;
NAPO;Solo;.;.;.;.;;
;Asociado;.;.;.;.;;
ORELLANA;Solo;102;.;.;.;;
;Asociado;.;.;.;.;;
PASTAZA;Solo;1.288;.;.;.;;
;Asociado;.;.;.;.;;
SUCUMBÍOS;Solo;1.775;.;.;.;;
;Asociado;.;.;.;.;;
ZAMORA CHINCHIPE;Solo;473;.;.;.;;
;Asociado;.;.;.;.;;
ZONAS NO DELIMITADAS;Solo;10;.;.;.;;
;Asociado;.;.;.;.;;
;;;;;;;
Fuente: INEC 2014;;;;;;;
