;;;;;;;INDICE;;
;;;;;;;;;
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 40. SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
SOYA (Grano seco);;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;;SUPERFICIE (Has.);;"PRODUCCIÓN 
(Tm.)";"VENTAS 
(Tm.)";;;;
;;Sembrada;Cosechada;;;;;;
;;;;;;;;;
TOTAL NACIONAL;; 23.277 ; 22.493 ; 32.697 ; 31.578 ;;;;
;;;;;;;;;
REGIÓN SIERRA;; . ; . ; . ; . ;;;;
REGIÓN COSTA;; 23.277 ; 22.493 ; 32.697 ; 31.578 ;;;;
REGIÓN ORIENTAL;; . ; . ; . ; . ;;;;
ZONAS NO DELIMITADAS;; . ; . ; . ; . ;;;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
BOLÍVAR;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
CAÑAR;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
CARCHI;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
COTOPAXI;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
CHIMBORAZO;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
IMBABURA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
LOJA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
PICHINCHA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
TUNGURAHUA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
ESMERALDAS;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
GUAYAS;Solo; 9.820 ; 9.384 ; 8.158 ; 7.140 ;;;;
;Asociado; . ; . ; . ; . ;;;;
LOS RÍOS;Solo; 13.438 ; 13.090 ; 24.513 ; 24.413 ;;;;
;Asociado; . ; . ; . ; . ;;;;
MANABÍ;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SANTA ELENA;Solo; 19 ; 19 ; 26 ; 26 ;;;;
;Asociado; . ; . ; . ; . ;;;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
NAPO;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
ORELLANA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
PASTAZA;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
SUCUMBÍOS;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
ZAMORA CHINCHIPE;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
ZONAS NO DELIMITADAS;Solo; . ; . ; . ; . ;;;;
;Asociado; . ; . ; . ; . ;;;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
