;;;;;;;;;INDICE
;;;;;;;;;
ENCUESTA DE SUPERFICIE Y PRODUCCIÓN AGROPECUARIA CONTINUA 2015;;;;;;;;;
TABLA 57. NÚMERO DE VACAS ORDEÑADAS, PRODUCCIÓN Y DESTINO DE LA LECHE, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;
;;;;;;;;;
REGIÓN Y PROVINCIA;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);DESTINO PRINCIPAL DE LA LECHE (Litros);;;;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;;
;;;;;;;;;
;;;;;;;;;
TOTAL NACIONAL;860.886;4.982.370;3.575.277;397.600;97.886;901.766;9.841;;
;;;;;;;;;
REGIÓN SIERRA;522.717;3.677.687;3.010.918;270.778;84.858;305.832;5.301;;
REGIÓN COSTA;272.717;1.024.009;418.813;91.946;7.637;501.856;3.756;;
REGIÓN ORIENTAL;63.336;273.188;143.181;33.060;5.391;90.942;614;;
ZONAS NO DELIMITADAS;2.115;7.487;2.366;1.816;.;3.136;170;;
;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;
;;;;;;;;;
AZUAY;81.880;417.790;283.529;55.285;11.083;65.875;2.018;;
BOLÍVAR;36.696;154.778;50.227;24.870;771;78.911;0;;
CAÑAR;43.502;227.073;192.508;25.112;687;8.740;26;;
CARCHI;34.596;322.282;293.473;13.304;12.471;2.937;98;;
COTOPAXI;65.673;529.614;467.988;30.443;11.202;19.449;532;;
CHIMBORAZO;59.990;405.036;351.828;41.379;5.770;5.731;328;;
IMBABURA;15.960;152.561;136.156;9.533;3.976;2.668;228;;
LOJA;31.908;125.571;13.452;15.431;114;96.070;504;;
PICHINCHA;91.427;893.463;825.961;25.258;32.252;8.963;1.029;;
TUNGURAHUA;39.505;330.239;297.462;24.561;6.252;1.427;538;;
SANTO DOMINGO DE LOS TSÁCHILAS;21.579;119.281;98.334;5.605;281;15.062;0;;
;;;;;;;;;
REGIÓN COSTA;;;;;;;;;
;;;;;;;;;
EL ORO;16.716;65.579;23.966;9.694;1.025;30.894;0;;
ESMERALDAS;30.794;122.047;36.709;12.856;782;71.352;348;;
GUAYAS;44.051;171.214;100.011;16.036;1.430;53.419;318;;
LOS RÍOS;12.834;54.740;30.927;9.763;.;14.049;0;;
MANABÍ;168.122;609.863;227.034;43.487;4.400;331.853;3.089;;
SANTA ELENA;200;567;166;111;.;289;.;;
;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;
;;;;;;;;;
MORONA SANTIAGO;21.991;101.468;40.395;12.564;4.593;43.639;276;;
NAPO;3.849;25.782;22.394;444;151;2.793;.;;
ORELLANA;4.701;21.315;6.595;2.513;190;12.012;5;;
PASTAZA;2.781;18.793;16.931;776;50;1.032;4;;
SUCUMBÍOS;8.634;31.998;9.594;7.287;296;14.491;329;;
ZAMORA CHINCHIPE;21.380;73.832;47.271;9.475;110;16.975;0;;
ZONAS NO DELIMITADAS;2.115;7.487;2.366;1.816;.;3.136;170;;
;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;
