;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;÷NDICE;
;;Total;Sequ°a;Helada;Plagas;Enfermedades;Inundaci¢n;Otra raz¢n;;;
TOTAL NACIONAL;Solo; 38.461 ; 19.936 ; 2.041 ; 9.168 ; 468 ; 2.128 ; 4.720 ;;;
;Asociado; 2.478 ; 532 ; 66 ; 1.417 ; 150 ; 275 ; 38 ;;;
;;;;;;;;;;;
ARROZ (EN CµSCARA);Solo; 2.147 ; 781 ;; 411 ; 57 ; 318 ; 580 ;;;
;Asociado;;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 52 ; 7 ; 16 ; 28 ;;;;;;
;Asociado; 19 ; 3 ;; 17 ;;;;;;
ARVEJA TIERNA (EN VAINA);Solo; 164 ; 54 ; 67 ; 40 ; 3 ; 1 ;;;;
;Asociado; 31 ; 30 ;; 1 ;;;;;;
BROCOLI (REPOLLO);Solo; 42 ;; 4 ; 37 ;; 1 ;;;;
;Asociado;;;;;;;;;;
CEBADA (GRANO SECO);Solo; 479 ; 163 ; 157 ; 110 ;; 22 ; 27 ;;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 136 ; 118 ; 15 ; 3 ;;;;;;
;Asociado;;;;;;;;;;
FRêJOL SECO (GRANO SECO);Solo; 575 ; 132 ; 155 ; 149 ; 3 ;; 136 ;;;
;Asociado; 555 ; 144 ; 6 ; 247 ; 41 ; 109 ; 7 ;;;
FRêJOL TIERNO (EN VAINA);Solo; 178 ; 2 ; 13 ; 126 ; 27 ;; 10 ;;;
;Asociado; 492 ; 45 ; 8 ; 425 ;; 15 ;;;;
HABA SECA (GRANO SECO);Solo; 29 ; 16 ; 8 ; 2 ;;; 3 ;;;
;Asociado; 126 ;; 3 ; 102 ; 2 ; 20 ;;;;
HABA TIERNA (EN VAINA);Solo; 260 ; 118 ; 48 ; 58 ;;; 36 ;;;
;Asociado; 42 ; 13 ; 1 ; 15 ;; 12 ;;;;
MA÷Z DURO CHOCLO (EN CHOCLO);Solo; 136 ;;; 136 ;;;;;;
;Asociado;;;;;;;;;;
MA÷Z DURO SECO (GRANO SECO);Solo; 23.996 ; 14.680 ; 182 ; 4.722 ; 106 ; 1.605 ; 2.702 ;;;
;Asociado; 427 ; 15 ;; 362 ; 50 ;;;;;
MA÷Z SUAVE CHOCLO (EN CHOCLO);Solo; 828 ; 412 ; 139 ; 250 ; 4 ; 7 ; 15 ;;;
;Asociado; 64 ; 14 ; 8 ; 21 ;; 16 ; 6 ;;;
MA÷Z SUAVE SECO (GRANO SECO);Solo; 3.514 ; 1.622 ; 576 ; 767 ; 82 ; 46 ; 422 ;;;
;Asociado; 480 ; 146 ; 10 ; 167 ; 38 ; 94 ; 25 ;;;
MAN÷ (GRANO DESCASCARADO);Solo; 639 ; 582 ;; 57 ;;;;;;
;Asociado; 74 ; 74 ;;;;;;;;
PAPA (TUBêRCULO FRESCO);Solo; 1.024 ; 94 ; 376 ; 302 ; 62 ; 20 ; 170 ;;;
;Asociado; 17 ; 5 ;; 4 ;; 9 ;;;;
QUINUA (GRANO SECO);Solo; 98 ; 51 ; 10 ; 37 ;;;;;;
;Asociado;;;;;;;;;;
SOYA (GRANO SECO);Solo; 1.240 ; 195 ;; 1.046 ;;;;;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo;;;;;;;;;;
;Asociado;;;;;;;;;;
TOMATE RI•‡N (FRUTA FRESCA);Solo; 74 ;; 19 ; 52 ;; 0 ; 3 ;;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo; 182 ; 98 ; 9 ; 71 ;; 4 ;;;;
;Asociado;;;;;;;;;;
YUCA (RA÷Z FRESCA);Solo; 377 ; 75 ;; 140 ;; 87 ; 76 ;;;
;Asociado; 71 ; 42 ;; 23 ; 6 ;;;;;
OTROS TRANSITORIOS;Solo; 2.289 ; 736 ; 247 ; 624 ; 125 ; 19 ; 539 ;;;
;Asociado; 79 ; 1 ; 32 ; 33 ; 13 ;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
