;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;÷NDICE
;;TIPO DE SEMILLA UTILIZADA;;;;;PRµCTICA DE CULTIVO;;;;
;;Com£n;Mejorada;Certificada;H°brida Nacional;H°brida Internacional;Riego;Aplicaci¢n de Fertilizantes;Aplicaci¢n de Fitosanitarios;;
TOTAL NACIONAL;Solo; 435.564 ; 225.814 ; 252.664 ; 8.911 ; 4.585 ; 402.654 ; 832.286 ; 803.190 ;;
;Asociado; 23.924 ; 2.939 ; 2.905 ; 66 ;; 3.869 ; 17.446 ; 11.569 ;;
;;;;;;;;;;;
ARROZ (EN CµSCARA);Solo; 180.851 ; 71.087 ; 60.152 ; 1.498 ; 1.435 ; 253.024 ; 312.069 ; 310.714 ;;
;Asociado;;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 1.269 ; 83 ;;;; 234 ; 669 ; 401 ;;
;Asociado; 180 ;;;;; 21 ; 141 ; 140 ;;
ARVEJA TIERNA (EN VAINA);Solo; 2.884 ; 1.981 ; 265 ; 20 ;; 2.176 ; 3.861 ; 3.469 ;;
;Asociado; 521 ;; 123 ;;; 42 ; 541 ; 455 ;;
BROCOLI (REPOLLO);Solo; 1.440 ; 3.561 ; 5.105 ;;; 10.072 ; 10.105 ; 10.011 ;;
;Asociado;; 31 ;;;; 31 ;;;;
CEBADA (GRANO SECO);Solo; 10.016 ; 1.535 ; 58 ; 25 ;; 2.138 ; 5.940 ; 3.398 ;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4.277 ; 178 ; 5 ;;; 1.808 ; 4.140 ; 2.052 ;;
;Asociado;;;;;;;;;;
FRêJOL SECO (GRANO SECO);Solo; 10.633 ; 1.327 ; 9 ;;; 3.120 ; 7.308 ; 8.833 ;;
;Asociado; 6.963 ; 161 ;;;; 632 ; 4.121 ; 1.606 ;;
FRêJOL TIERNO (EN VAINA);Solo; 2.134 ; 1.578 ; 68 ;; 150 ; 2.115 ; 2.533 ; 3.119 ;;
;Asociado; 3.293 ; 190 ; 146 ; 33 ;; 692 ; 1.788 ; 1.610 ;;
HABA SECA (GRANO SECO);Solo; 1.015 ; 39 ;;;; 64 ; 628 ; 356 ;;
;Asociado; 883 ; 6 ;;;; 11 ; 323 ; 205 ;;
HABA TIERNA (EN VAINA);Solo; 4.116 ; 1.321 ; 2 ; 11 ;; 2.610 ; 4.270 ; 3.622 ;;
;Asociado; 542 ; 2 ;;;; 188 ; 447 ; 151 ;;
MA÷Z DURO CHOCLO (EN CHOCLO);Solo; 1.873 ; 2.647 ; 169 ;;; 2.394 ; 3.514 ; 2.723 ;;
;Asociado; 214 ; 37 ;;;;;; 197 ;;
MA÷Z DURO SECO (GRANO SECO);Solo; 76.919 ; 107.193 ; 167.266 ; 6.243 ; 2.364 ; 60.948 ; 330.916 ; 331.185 ;;
;Asociado; 1.317 ; 1.888 ; 2.502 ; 33 ;; 478 ; 4.204 ; 4.647 ;;
MA÷Z SUAVE CHOCLO (EN CHOCLO);Solo; 13.153 ; 1.271 ; 72 ; 39 ; 3 ; 5.983 ; 11.519 ; 8.422 ;;
;Asociado; 855 ; 109 ; 3 ;;; 512 ; 770 ; 381 ;;
MA÷Z SUAVE SECO (GRANO SECO);Solo; 46.491 ; 4.639 ; 218 ; 47 ;; 6.368 ; 36.584 ; 26.924 ;;
;Asociado; 6.942 ; 176 ;;;; 913 ; 4.564 ; 1.592 ;;
MAN÷ (GRANO DESCASCARADO);Solo; 4.870 ; 588 ; 42 ;;; 1.247 ; 4.285 ; 4.202 ;;
;Asociado; 244 ;;;;;; 33 ; 103 ;;
PAPA (TUBêRCULO FRESCO);Solo; 20.011 ; 5.305 ; 457 ; 48 ;; 10.031 ; 23.995 ; 20.243 ;;
;Asociado; 102 ; 2 ;;;; 35 ; 71 ; 53 ;;
QUINUA (GRANO SECO);Solo; 4.389 ; 89 ; 859 ;;; 2.056 ; 4.526 ; 1.223 ;;
;Asociado; 28 ;;;;;; 28 ;;;
SOYA (GRANO SECO);Solo; 14.903 ; 3.802 ; 2.217 ;;; 3.649 ; 16.705 ; 17.878 ;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo; 184 ; 3.342 ; 2.906 ;;; 6.431 ; 6.431 ; 6.431 ;;
;Asociado;;;;;;;;;;
TOMATE RI•‡N (FRUTA FRESCA);Solo; 378 ; 1.527 ; 700 ; 44 ; 4 ; 2.592 ; 2.279 ; 2.184 ;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo; 3.768 ; 1.773 ; 1.340 ;;; 1.733 ; 6.048 ; 3.826 ;;
;Asociado;;;;;;;;;;
YUCA (RA÷Z FRESCA);Solo; 11.584 ; 1.181 ; 1.176 ; 195 ;; 235 ; 3.890 ; 4.583 ;;
;Asociado; 973 ; 302 ;;;; 64 ; 38 ; 61 ;;
OTROS TRANSITORIOS;Solo; 18.408 ; 9.767 ; 9.577 ; 742 ; 630 ; 21.625 ; 30.070 ; 27.392 ;;
;Asociado; 866 ; 36 ; 132 ;;; 251 ; 376 ; 367 ;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
;;;;;;;;;;;
