;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;;
;; Sembrada ; Cosechada ;;;;;;;
TOTAL NACIONAL;; 342.967 ; 340.281 ; 1.504.214 ; 1.446.282 ;;;;;
REGIÓN SIERRA;; 17.676 ; 16.305 ; 52.395 ; 52.119 ;;;;;
REGIÓN COSTA;; 323.230 ; 321.915 ; 1.444.055 ; 1.386.866 ;;;;;
REGIÓN AMAZÓNICA;; 2.061 ; 2.061 ; 7.764 ; 7.297 ;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo; 11 ; 11 ; 50 ; 50 ;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo; 1.896 ; 1.896 ; 3.844 ; 3.792 ;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo; 6 ; 6 ; 42 ; 42 ;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOJA;Solo; 15.763 ; 14.391 ; 48.458 ; 48.234 ;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo; 2.361 ; 2.361 ; 10.205 ; 10.205 ;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo; 204.874 ; 204.646 ; 940.566 ; 910.673 ;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo; 104.165 ; 103.133 ; 451.589 ; 428.889 ;;;;;
;Asociado; 485 ; 485 ; 621 ; 621 ;;;;;
MANABÍ;Solo; 11.285 ; 11.229 ; 41.009 ; 36.477 ;;;;;
;Asociado; 61 ; 61 ; 66 ;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo; 95 ; 95 ; 134 ; 97 ;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo; 208 ; 208 ; 742 ; 379 ;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo; 1.759 ; 1.759 ; 6.888 ; 6.821 ;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;
