;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE;
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;;
TOTAL NACIONAL;Solo; 23.412 ; 2.309 ; 5.083 ; 9.431 ; 1.776 ; 2.755 ; 2.059 ;;;
;Asociado; 4.520 ; 1.073 ; 1.419 ; 1.098 ; 133 ; 400 ; 398 ;;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 2.686 ; 105 ; 549 ; 1.058 ;; 837 ; 137 ;;;
;Asociado;;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 128 ;; 1 ; 7 ; 56 ; 4 ; 60 ;;;
;Asociado; 17 ; 12 ; 2 ;;; 3 ;;;;
ARVEJA TIERNA (EN VAINA);Solo; 565 ; 27 ; 41 ; 70 ; 28 ; 282 ; 118 ;;;
;Asociado; 217 ; 134 ; 64 ; 19 ;;;;;;
BROCOLI (REPOLLO);Solo; 94 ;; 16 ; 33 ;;; 45 ;;;
;Asociado; 18 ;;; 4 ; 14 ;;;;;
CEBADA (GRANO SECO);Solo; 820 ; 131 ; 413 ; 91 ; 53 ; 61 ; 71 ;;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 70 ;; 11 ; 57 ; 3 ;;;;;
;Asociado;;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 569 ; 8 ; 11 ; 276 ; 73 ; 138 ; 63 ;;;
;Asociado; 1.242 ; 308 ; 443 ; 233 ; 58 ; 96 ; 103 ;;;
FRÉJOL TIERNO (EN VAINA);Solo; 122 ; 18 ; 6 ; 56 ; 4 ; 38 ;;;;
;Asociado; 269 ; 40 ; 81 ; 24 ; 3 ; 54 ; 67 ;;;
HABA SECA (GRANO SECO);Solo; 109 ; 13 ; 17 ; 56 ; 1 ;; 23 ;;;
;Asociado; 114 ; 35 ; 47 ; 10 ;; 14 ; 8 ;;;
HABA TIERNA (EN VAINA);Solo; 503 ; 44 ; 121 ; 117 ; 152 ; 67 ; 1 ;;;
;Asociado; 112 ; 22 ; 7 ; 36 ;; 12 ; 35 ;;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 115 ;; 3 ; 112 ;;;;;;
;Asociado;;;;;;;;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 7.126 ; 428 ; 380 ; 3.936 ; 992 ; 694 ; 696 ;;;
;Asociado; 323 ;; 10 ; 177 ;; 119 ; 17 ;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 1.661 ; 221 ; 363 ; 796 ; 36 ; 68 ; 177 ;;;
;Asociado; 223 ; 21 ; 22 ; 81 ; 6 ; 9 ; 84 ;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 3.683 ; 854 ; 1.464 ; 775 ; 47 ; 216 ; 327 ;;;
;Asociado; 1.187 ; 398 ; 408 ; 179 ; 31 ; 87 ; 83 ;;;
MANÍ (GRANO DESCASCARADO);Solo; 12 ;;; 9 ;;; 3 ;;;
;Asociado;;;;;;;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 1.811 ; 121 ; 895 ; 537 ; 80 ; 69 ; 109 ;;;
;Asociado; 51 ; 3 ; 41 ;; 4 ; 3 ;;;;
QUINUA (GRANO SECO);Solo; 486 ; 60 ; 356 ; 9 ; 0 ; 60 ;;;;
;Asociado; 64 ;; 64 ;;;;;;;
SOYA (GRANO SECO);Solo; 1 ;;;;; 1 ;;;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo;;;;;;;;;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 42 ;;; 38 ; 3 ;;;;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo; 164 ; 14 ; 82 ; 28 ; 3 ; 30 ; 7 ;;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 1.043 ; 1 ; 1 ; 898 ; 25 ; 44 ; 73 ;;;
;Asociado; 113 ;;; 109 ;; 4 ;;;;
OTROS TRANSITORIOS;Solo; 1.602 ; 263 ; 355 ; 470 ; 220 ; 145 ; 150 ;;;
;Asociado; 571 ; 102 ; 228 ; 226 ; 16 ;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
