;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 1.691 ; 1.650 ; 55.277 ; 54.817 ;;
REGIÓN SIERRA;; 1.359 ; 1.317 ; 49.728 ; 49.346 ;;
REGIÓN COSTA;; 229 ; 229 ; 4.898 ; 4.838 ;;
REGIÓN AMAZÓNICA;; 103 ; 103 ; 651 ; 633 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 64 ; 64 ; 2.613 ; 2.566 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 39 ; 39 ; 873 ; 871 ;;
;Asociado;;;;;;
CAÑAR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 86 ; 75 ; 1.541 ; 1.541 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 73 ; 73 ; 3.421 ; 3.399 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 642 ; 611 ; 21.921 ; 21.805 ;;
;Asociado;;;;;;
IMBABURA;Solo; 171 ; 171 ; 6.923 ; 6.835 ;;
;Asociado;;;;;;
LOJA;Solo; 11 ; 11 ; 49 ; 46 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 150 ; 150 ; 6.697 ; 6.594 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 124 ; 124 ; 5.691 ; 5.689 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 17 ; 17 ; 545 ; 544 ;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 170 ; 170 ; 3.857 ; 3.801 ;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo; 35 ; 35 ; 319 ; 316 ;;
;Asociado;;;;;;
SANTA ELENA;Solo; 6 ; 6 ; 177 ; 177 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 62 ; 62 ; 227 ; 214 ;;
;Asociado;;;;;;
NAPO;Solo; 17 ; 17 ; 392 ; 392 ;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 24 ; 24 ; 33 ; 27 ;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
