;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 10.527 ; 9.707 ; 14.681 ; 9.338 ;;
REGIÓN SIERRA;; 10.527 ; 9.707 ; 14.681 ; 9.338 ;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 139 ; 134 ; 81 ; 46 ;;
;Asociado;;;;;;
BOLÍVAR;Solo; 1.549 ; 1.543 ; 3.986 ; 1.221 ;;
;Asociado;;;;;;
CAÑAR;Solo; 85 ; 56 ; 79 ; 50 ;;
;Asociado;;;;;;
CARCHI;Solo; 2.007 ; 1.986 ; 4.279 ; 4.169 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 1.262 ; 1.091 ; 1.247 ; 697 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 3.842 ; 3.345 ; 2.501 ; 1.149 ;;
;Asociado;;;;;;
IMBABURA;Solo; 519 ; 519 ; 805 ; 684 ;;
;Asociado;;;;;;
LOJA;Solo; 49 ; 41 ; 25 ;;;
;Asociado;;;;;;
PICHINCHA;Solo; 525 ; 513 ; 690 ; 479 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 549 ; 481 ; 988 ; 842 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
