;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 2.940 ; 2.390 ; 1.482 ; 875 ;;
REGIÓN SIERRA;; 2.940 ; 2.390 ; 1.482 ; 875 ;;
REGIÓN COSTA;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOLÍVAR;Solo;;;;;;
;Asociado;;;;;;
CAÑAR;Solo; 3 ; 3 ; 0 ; 0 ;;
;Asociado;;;;;;
CARCHI;Solo; 314 ; 253 ; 229 ; 221 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 362 ; 362 ; 103 ; 10 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 2.153 ; 1.728 ; 1.103 ; 624 ;;
;Asociado; 79 ; 15 ; 3 ;;;
IMBABURA;Solo; 10 ; 10 ; 4 ;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 19 ; 19 ; 40 ; 20 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS RÍOS;Solo;;;;;;
;Asociado;;;;;;
MANABÍ;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;
