;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE SEMBRADA (Has.);;;;;;;;;ÍNDICE
;;TIPO DE SEMILLA UTILIZADA;;;;;PRÁCTICA DE CULTIVO;;;;
;;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo; 370.331 ; 166.393 ; 380.236 ; 25.155 ; 6.884 ; 374.780 ; 865.999 ; 848.655 ;;
;Asociado; 46.124 ; 5.212 ; 5.546 ; 214 ; 339 ; 5.000 ; 41.248 ; 24.696 ;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 141.755 ; 57.544 ; 133.298 ; 9.825 ;; 260.439 ; 336.701 ; 333.478 ;;
;Asociado; 546 ;;;;;; 546 ; 546 ;;
ARVEJA SECA (GRANO SECO);Solo; 1.083 ; 172 ;;;; 340 ; 696 ; 416 ;;
;Asociado; 56 ; 37 ;;;; 6 ; 73 ; 55 ;;
ARVEJA TIERNA (EN VAINA);Solo; 4.484 ; 1.315 ; 171 ; 20 ;; 3.213 ; 4.372 ; 4.676 ;;
;Asociado; 463 ; 91 ;;;; 152 ; 463 ; 203 ;;
BROCOLI (REPOLLO);Solo; 488 ; 1.789 ; 1.757 ;; 3.098 ; 7.107 ; 7.129 ; 7.058 ;;
;Asociado;; 42 ;;;; 36 ; 42 ; 27 ;;
CEBADA (GRANO SECO);Solo; 8.587 ; 1.371 ; 569 ;;; 2.029 ; 5.764 ; 3.525 ;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 4.090 ; 754 ;;;; 1.932 ; 3.511 ; 1.728 ;;
;Asociado;;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 16.371 ; 919 ; 16 ; 128 ;; 1.801 ; 12.338 ; 15.570 ;;
;Asociado; 13.644 ; 187 ;; 87 ;; 871 ; 9.215 ; 3.626 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 3.957 ; 418 ; 126 ;; 7 ; 2.131 ; 3.643 ; 3.925 ;;
;Asociado; 4.404 ; 329 ; 272 ;;; 559 ; 3.656 ; 2.581 ;;
HABA SECA (GRANO SECO);Solo; 2.111 ; 88 ;;;; 379 ; 713 ; 791 ;;
;Asociado; 1.314 ; 52 ;;;; 121 ; 772 ; 48 ;;
HABA TIERNA (EN VAINA);Solo; 4.929 ; 1.099 ; 12 ; 68 ;; 2.608 ; 4.988 ; 4.707 ;;
;Asociado; 973 ; 8 ;;;; 129 ; 664 ; 154 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 815 ; 1.016 ; 2.011 ; 48 ;; 2.241 ; 3.394 ; 3.412 ;;
;Asociado; 207 ; 4 ;; 3 ; 151 ; 150 ; 324 ; 334 ;;
MAÍZ DURO SECO (GRANO SECO);Solo; 50.685 ; 71.786 ; 220.361 ; 14.577 ; 3.514 ; 42.577 ; 342.070 ; 343.217 ;;
;Asociado; 4.271 ; 3.250 ; 4.834 ; 121 ; 188 ; 608 ; 11.524 ; 11.844 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 18.293 ; 3.633 ; 523 ; 79 ; 59 ; 4.496 ; 19.766 ; 17.005 ;;
;Asociado; 1.664 ; 217 ;;;; 451 ; 1.317 ; 558 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 35.419 ; 1.498 ; 662 ; 60 ;; 4.362 ; 25.177 ; 17.219 ;;
;Asociado; 13.477 ; 288 ;; 4 ;; 993 ; 10.030 ; 2.117 ;;
MANÍ (GRANO DESCASCARADO);Solo; 4.998 ; 746 ; 168 ; 15 ;; 1.799 ; 4.313 ; 5.135 ;;
;Asociado; 275 ; 479 ;;;; 72 ; 703 ; 703 ;;
PAPA (TUBÉRCULO FRESCO);Solo; 16.596 ; 3.142 ; 851 ; 68 ; 40 ; 4.844 ; 18.614 ; 17.412 ;;
;Asociado; 240 ; 14 ;;;; 141 ; 190 ; 181 ;;
QUINUA (GRANO SECO);Solo; 2.418 ; 88 ; 355 ;;; 380 ; 2.058 ; 663 ;;
;Asociado; 79 ;;;;;; 72 ;;;
SOYA (GRANO SECO);Solo; 9.773 ; 4.116 ; 4.918 ;;; 5.137 ; 17.957 ; 18.507 ;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo; 595 ; 5.150 ; 3.340 ;;; 9.085 ; 9.085 ; 9.085 ;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 383 ; 1.110 ; 151 ; 44 ; 4 ; 1.570 ; 1.675 ; 1.516 ;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo; 2.986 ; 1.629 ; 1.587 ;;; 1.041 ; 4.491 ; 3.297 ;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 15.570 ; 513 ;; 14 ;; 246 ; 5.120 ; 6.270 ;;
;Asociado; 2.478 ; 56 ;;;; 21 ; 618 ; 917 ;;
OTROS TRANSITORIOS;Solo; 23.943 ; 6.498 ; 9.361 ; 208 ; 162 ; 15.024 ; 32.423 ; 30.044 ;;
;Asociado; 2.033 ; 159 ; 440 ;;; 691 ; 1.040 ; 802 ;;
;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;
;;;;;;;;;;;
