;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1.  Tabulados;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Tablas;Contenido;;;;;;;;;;;;;;;;;;;;;;;;
T1.;SUPERFICIE POR CATEGORÍAS DE USO DEL SUELO, SEGÚN REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;;;;;;;;;;
T2.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;;;;;;;;;;;;;;;
T3.;NÚMERO DE ÁRBOLES DISPERSOS COSECHADOS, PRODUCCIÓN Y VENTAS;;;;;;;;;;;;;;;;;;;;;;;;
T4.;SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;;;;;;;;;;;;;;;
T5.;SUPERFICIE PLANTADA EN HECTÁREAS POR EDAD, TIPO DE SEMILLA UTILIZADA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS PERMANENTES;;;;;;;;;;;;;;;;;;;;;;;;
T6.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;;;;;;;;;;;
T7.;SUPERFICIE PERDIDA POR DIFERENTES CAUSAS, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;;;;;;;;;;;
T8.;SUPERFICIE SEMBRADA POR TIPO DE SEMILLA UTILIZADA Y PRÁCTICA DE CULTIVO, SEGÚN CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;;;;;;;;;;;
T9.;SUPERFICIE, PRODUCCIÓN Y VENTAS POR CONDICIÓN DE CULTIVO, SEGÚN ESPECIES DE FLORES;;;;;;;;;;;;;;;;;;;;;;;;
T10.;NÚMERO DE CABEZAS DE GANADO POR ESPECIES, SEGÚN REGIÓN Y PROVINCIA  ;;;;;;;;;;;;;;;;;;;;;;;;
T11.;NÚMERO DE AVES POR EXISTENCIA Y MOVIMIENTO, SEGÚN TIPO DE CRIANZA Y ESPECIES;;;;;;;;;;;;;;;;;;;;;;;;
T12.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA AGUACATE (Fruta fresca);;;;;;;;;;;;;;;;;;;;;;;;
T13.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA BANANO (Fruta fresca);;;;;;;;;;;;;;;;;;;;;;;;
T14.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CACAO (Almendra seca);;;;;;;;;;;;;;;;;;;;;;;;
T15.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CAFÉ (Grano oro);;;;;;;;;;;;;;;;;;;;;;;;
T16.;SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN REGIÓN Y PROVINCIA CAÑA DE AZÚCAR PARA AZÚCAR (Tallo fresco);;;;;;;;;;;;;;;;;;;;;;;;
