Región y Provincia; USO DEL SUELO (Has.) ;;;;;;;;;;ÍNDICE
; Total ; Cultivos Permanentes ; Cultivos Transitorios y Barbecho ; Descanso ; Pastos Cultivados ; Pastos Naturales ; Páramos ; Montes y Bosques ; Otros Usos ;;
TOTAL NACIONAL; 12.215.965 ; 1.380.405 ; 812.294 ; 216.484 ; 2.323.582 ; 617.688 ; 308.927 ; 5.851.657 ; 704.929 ;;
REGIÓN SIERRA; 3.734.682 ; 236.614 ; 205.487 ; 80.497 ; 753.344 ; 492.163 ; 273.555 ; 1.490.437 ; 202.585 ;;
REGIÓN COSTA; 4.725.632 ; 986.131 ; 571.124 ; 122.608 ; 1.182.364 ; 95.563 ; 7.032 ; 1.431.614 ; 329.197 ;;
REGIÓN AMAZÓNICA; 3.734.947 ; 157.660 ; 35.662 ; 13.379 ; 387.429 ; 28.832 ; 26.220 ; 2.913.222 ; 172.543 ;;
ZONA NO DELIMITADA; 20.705 ;; 21 ;; 445 ; 1.130 ; 2.120 ; 16.384 ; 604 ;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY; 531.312 ; 5.262 ; 7.735 ; 3.772 ; 71.453 ; 99.510 ; 22.860 ; 300.839 ; 19.880 ;;
BOLÍVAR; 279.212 ; 28.422 ; 29.716 ; 1.481 ; 113.463 ; 34.593 ; 16.650 ; 44.967 ; 9.921 ;;
CAÑAR; 216.815 ; 19.273 ; 5.382 ; 3.202 ; 45.214 ; 27.102 ; 17.064 ; 92.232 ; 7.345 ;;
CARCHI; 187.191 ; 7.595 ; 19.881 ; 3.972 ; 28.205 ; 24.749 ; 2.668 ; 93.532 ; 6.589 ;;
COTOPAXI; 395.867 ; 21.004 ; 26.119 ; 15.122 ; 76.280 ; 61.551 ; 17.521 ; 155.336 ; 22.934 ;;
CHIMBORAZO; 368.390 ; 4.708 ; 36.509 ; 26.806 ; 67.443 ; 49.075 ; 83.463 ; 78.613 ; 21.774 ;;
IMBABURA; 296.914 ; 15.776 ; 14.343 ; 4.155 ; 44.966 ; 44.615 ; 20.631 ; 139.877 ; 12.552 ;;
LOJA; 540.966 ; 10.671 ; 33.570 ; 5.078 ; 58.082 ; 94.217 ; 16.791 ; 280.269 ; 42.289 ;;
PICHINCHA; 521.004 ; 43.259 ; 14.282 ; 8.356 ; 113.677 ; 41.773 ; 63.004 ; 210.262 ; 26.389 ;;
TUNGURAHUA; 154.015 ; 6.162 ; 12.258 ; 7.396 ; 39.761 ; 14.465 ; 12.902 ; 50.068 ; 11.003 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 242.996 ; 74.483 ; 5.691 ; 1.157 ; 94.799 ; 513 ;; 44.444 ; 21.910 ;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO; 369.703 ; 55.491 ; 7.678 ; 1.379 ; 97.069 ; 18.590 ; 7.032 ; 157.541 ; 24.924 ;;
ESMERALDAS; 1.029.903 ; 202.156 ; 5.113 ; 34.465 ; 232.878 ; 14.642 ;; 508.762 ; 31.888 ;;
GUAYAS; 1.058.169 ; 279.021 ; 253.209 ; 40.755 ; 105.228 ; 30.913 ;; 220.252 ; 128.791 ;;
LOS RÍOS; 617.544 ; 256.982 ; 162.704 ; 21.956 ; 42.836 ; 5.629 ;; 80.240 ; 47.197 ;;
MANABÍ; 1.574.810 ; 187.132 ; 137.418 ; 20.686 ; 703.230 ; 24.562 ;; 416.175 ; 85.606 ;;
SANTA ELENA; 75.503 ; 5.348 ; 5.002 ; 3.369 ; 1.123 ; 1.227 ;; 48.644 ; 10.790 ;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO; 827.646 ; 14.800 ; 3.902 ; 115 ; 152.041 ; 2.383 ;; 626.437 ; 27.967 ;;
NAPO; 448.281 ; 20.227 ; 5.270 ; 176 ; 17.078 ; 3.896 ; 22.347 ; 362.079 ; 17.209 ;;
ORELLANA; 606.994 ; 52.050 ; 13.398 ; 2.722 ; 44.941 ; 8.967 ;; 441.515 ; 43.401 ;;
PASTAZA; 824.684 ; 5.073 ; 3.142 ; 243 ; 22.811 ; 3.260 ;; 760.866 ; 29.288 ;;
SUCUMBÍOS; 768.567 ; 62.978 ; 9.240 ; 10.123 ; 77.091 ; 5.901 ; 3.873 ; 562.924 ; 36.437 ;;
ZAMORA CHINCHIPE; 258.776 ; 2.532 ; 711 ;; 73.467 ; 4.425 ;; 159.400 ; 18.241 ;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA; 20.705 ;; 21 ;; 445 ; 1.130 ; 2.120 ; 16.384 ; 604 ;;
;;;;;;;;;;;
Notas:;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
Superficie con uso agropecuario: Comprende el área  ocupada por cultivos  permanentes, transitorios, pastos cultivados y naturales.;;;;;;;;;;;
Para la selección de la muestra, se tomó la variable “superficie de suelo con uso agropecuario” como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, áreas urbanas, áreas mayores a los 3000 msnm, reservas naturales (selva) y sectores amanzanados.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
