INDICADORES DEL PLAN NACIONAL DE DESARROLLO;;;;;;;;;ÍNDICE
;;;;;;;;;
EJE 2: Economía al servicio de la sociedad;;;;;;;;;
Objetivo 6: Desarrollar las capacidades productivas y del entorno, para lograr la soberanía alimentaria y el Buen Vivir Rural;;;;;;;;;
"Meta: 5.3 Aumentar de 98,9 a 112 el índice de productividad agrícola
nacional a 2021.";;;;;;;;;
Indicador de apoyo 3: Productividad pecuaria;;;;;;;;;
;;;;;;;;;
Cultivo;Productividad (cabezas/hectárea);;;;;;;;
Nacional; 1,48 ;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
