;;;;;;;;;;
TABLA 43. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE PAPA (Tubérculo fresco);;;;;;;;;;
POR REGIÓN Y PROVINCIA ;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;20.626;19.675;275.346;253.706;;;;;
REGIÓN SIERRA;;20.424;19.473;274.708;253.647;;;;;
REGIÓN COSTA;;203;202;638;59;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;1.263;1.241;8.299;7.206;;;;;
;Asociado;213;205;827;677;;;;;
BOLÍVAR;Solo;1.441;1.331;8.880;7.589;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;585;527;2.314;2.016;;;;;
;Asociado;119;67;247;162;;;;;
CARCHI;Solo;5.152;5.018;119.939;114.830;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;3.287;3.173;35.282;32.239;;;;;
;Asociado;12;9;61;;;;;;
CHIMBORAZO;Solo;3.448;3.386;28.030;23.686;;;;;
;Asociado;266;265;198;157;;;;;
IMBABURA;Solo;1.253;1.157;18.513;16.661;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;10;10;108;97;;;;;
;Asociado;7;7;48;30;;;;;
PICHINCHA;Solo;1.062;816;11.982;11.288;;;;;
;Asociado;5;;;;;;;;
TUNGURAHUA;Solo;2.272;2.232;39.773;36.818;;;;;
;Asociado;27;27;206;190;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;194;194;597;45;;;;;
;Asociado;8;8;41;14;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
